Add	ADD
I’m	DESCRIPTION
going	DESCRIPTION
to	DESCRIPTION
swim	DESCRIPTION
this	DATE
Sunday	DATE
,	O
tag	TAG
with	TAG
important	TAG
.	O

Buy	DESCRIPTION
a	DESCRIPTION
book	DESCRIPTION
,	O
tag	TAG
with	TAG
medium	TAG
,	O
next	DATE
Friday	DATE
18:00	DATE
to	DATE
20:00	DATE
.	O

Today	DATE
,	O
18:00	DATE
to	DATE
20:00	DATE
,	O
watch	DESCRIPTION
lsm	DESCRIPTION
webcast	DESCRIPTION
tag	TAG
with	TAG
important	TAG

Add	ADD
today	DESCRIPTION
group	DESCRIPTION
meeting DESCRIPTION
with	DESCRIPTION
gaby	DESCRIPTION
14:00	DATE
to	DATE
18:00	DATE
